review_id,topic,id,prompt,option_0,option_1,option_2,option_3,correct_index,approved,notes
RVW-0001,Math,math-what-is-40-0079,What is 40 - 12?,28,36,26,29,0,,
RVW-0002,Math,math-what-is-55-0044,What is 55 + 20?,75,74,84,77,0,,
RVW-0003,Math,math-what-is-35-0074,What is 35 - 7?,28,29,26,36,0,,
RVW-0004,Math,math-what-is-27-0016,What is 27 + 20?,49,56,46,47,3,,
RVW-0005,Math,math-what-is-33-0072,What is 33 - 5?,28,36,26,29,0,,
RVW-0006,Math,math-what-is-39-0078,What is 39 - 11?,29,26,28,36,2,,
RVW-0007,Math,math-what-is-38-0027,What is 38 + 17?,64,57,55,54,2,,
RVW-0008,Math,math-what-is-49-0038,What is 49 + 14?,62,65,72,63,3,,
RVW-0009,Math,math-what-is-31-0070,What is 31 - 14?,25,17,15,18,1,,
RVW-0010,Math,math-what-is-41-0080,What is 41 - 13?,28,26,29,36,0,,
RVW-0011,Math,math-what-is-25-0014,What is 25 + 18?,45,52,42,43,3,,
RVW-0012,Math,math-what-is-29-0018,What is 29 + 8?,37,39,36,46,0,,
RVW-0013,Math,math-what-is-68-0057,What is 68 + 19?,96,89,87,86,2,,
RVW-0014,Math,math-what-is-77-0066,What is 77 + 14?,100,90,93,91,3,,
RVW-0015,Math,math-what-is-59-0048,What is 59 + 10?,78,69,71,68,1,,
RVW-0016,Math,math-what-is-58-0047,What is 58 + 9?,76,67,66,69,1,,
RVW-0017,Math,math-what-is-34-0023,What is 34 + 13?,56,46,49,47,3,,
RVW-0018,Math,math-what-is-52-0041,What is 52 + 17?,68,71,78,69,3,,
RVW-0019,Math,math-what-is-37-0076,What is 37 - 9?,36,29,26,28,3,,
RVW-0020,Math,math-what-is-50-0089,What is 50 - 11?,37,40,47,39,3,,
RVW-0021,Math,math-what-is-14-0003,What is 14 + 7?,20,21,23,30,1,,
RVW-0022,Math,math-what-is-72-0061,What is 72 + 9?,90,81,80,83,1,,
RVW-0023,Math,math-what-is-74-0063,What is 74 + 11?,85,84,94,87,0,,
RVW-0024,Math,math-what-is-22-0011,What is 22 + 15?,39,36,37,46,2,,
RVW-0025,Math,math-what-is-49-0088,What is 49 - 10?,47,39,37,40,1,,
RVW-0026,Math,math-what-is-47-0086,What is 47 - 8?,39,40,47,37,0,,
RVW-0027,Math,math-what-is-46-0035,What is 46 + 11?,56,66,59,57,3,,
RVW-0028,Math,math-what-is-51-0090,What is 51 - 12?,37,47,39,40,2,,
RVW-0029,Math,math-what-is-58-0097,What is 58 - 8?,51,48,50,58,2,,
RVW-0030,Math,math-what-is-35-0024,What is 35 + 14?,48,58,49,51,2,,
RVW-0031,Math,math-what-is-41-0030,What is 41 + 20?,60,70,63,61,3,,
RVW-0032,Math,math-what-is-20-0009,What is 20 + 13?,42,32,33,35,2,,
RVW-0033,Math,math-what-is-12-0001,What is 12 + 19?,40,30,31,33,2,,
RVW-0034,Math,math-what-is-15-0004,What is 15 + 8?,22,32,25,23,3,,
RVW-0035,Math,math-what-is-32-0071,What is 32 - 15?,15,25,18,17,3,,
RVW-0036,Math,math-what-is-67-0056,What is 67 + 18?,85,94,87,84,0,,
RVW-0037,Math,math-what-is-61-0100,What is 61 - 11?,58,50,51,48,1,,
RVW-0038,Math,math-what-is-44-0033,What is 44 + 9?,62,52,53,55,2,,
RVW-0039,Math,math-what-is-36-0025,What is 36 + 15?,60,51,50,53,1,,
RVW-0040,Math,math-what-is-26-0015,What is 26 + 19?,44,47,45,54,2,,
RVW-0041,Science,science-is-biomass-renewable-or-0070,Is biomass renewable or nonrenewable energy?,Mechanical,Chemical,Nonrenewable,Renewable,3,,
RVW-0042,Science,science-what-state-of-matter-0040,What state of matter is nitrogen at room temperature?,Gas,Liquid,Plasma,Solid,0,,
RVW-0043,Science,science-what-state-of-matter-0013,What state of matter is book at room temperature?,Liquid,Gas,Plasma,Solid,3,,
RVW-0044,Science,science-what-state-of-matter-0036,What state of matter is air at room temperature?,Solid,Gas,Plasma,Liquid,1,,
RVW-0045,Science,science-what-state-of-matter-0023,What state of matter is water at room temperature?,Gas,Plasma,Solid,Liquid,3,,
RVW-0046,Science,science-science-check-50-what-0089,Science check 50: What number planet from the Sun is Venus?,2,1,3,4,0,,
RVW-0047,Science,science-what-number-planet-from-0055,What number planet from the Sun is Venus?,1,3,2,4,2,,
RVW-0048,Science,science-what-state-of-matter-0015,What state of matter is brick at room temperature?,Gas,Solid,Plasma,Liquid,1,,
RVW-0049,Science,science-science-check-55-what-0091,Science check 55: What number planet from the Sun is Uranus?,7,6,8,4,0,,
RVW-0050,Science,science-what-state-of-matter-0021,What state of matter is milk at room temperature?,Solid,Gas,Liquid,Plasma,2,,
RVW-0051,Science,science-science-check-38-what-0084,Science check 38: What number planet from the Sun is Saturn?,6,5,7,4,0,,
RVW-0052,Science,science-what-state-of-matter-0012,What state of matter is spoon at room temperature?,Liquid,Gas,Plasma,Solid,3,,
RVW-0053,Science,science-what-gas-do-people-0006,What gas do people need to breathe?,Chlorine,Oxygen,Gold,Sand,1,,
