"id","name","description","rarity","unlock_rule"
"emoji-common-001","🌧️ Rain Rookie Badge","A bright start on your learning path.","common","Answer 1 question correctly."
"emoji-common-002","🌤️ Sunny Step Token","You kept going and made progress.","common","Answer 2 questions correctly in one round."
"emoji-common-003","🌈 Rainbow Spark","A colorful reward for steady focus.","common","Answer 3 questions correctly in one round."
"emoji-common-004","☁️ Cloud Hopper","You are floating through practice rounds.","common","Play 2 rounds."
"emoji-common-005","⭐ Star Starter","A classic badge for quick wins.","common","Reach 10 points."
"emoji-common-006","📘 Blue Book Buddy","Small study steps add up fast.","common","Reach 20 points."
"emoji-common-007","✏️ Pencil Power","Sharpened and ready to learn.","common","Answer 4 questions correctly in one round."
"emoji-common-008","🧠 Brain Boost","Your focus is getting stronger.","common","Reach a 2-answer streak."
"emoji-common-009","🐣 Little Learner Chick","Tiny wins are still big wins.","common","Finish 1 round."
"emoji-common-010","🐢 Steady Turtle","Slow and steady learning works.","common","Play 3 rounds."
"emoji-common-011","🦊 Curious Fox","Questions are your playground.","common","Answer 5 questions correctly in total."
"emoji-common-012","🐼 Calm Panda","Cool mind, smart answers.","common","Reach 30 points."
"emoji-common-013","🧩 Puzzle Piece","Every answer fits into bigger knowledge.","common","Answer 6 questions correctly in total."
"emoji-common-014","📗 Green Chapter","You turned another page of progress.","common","Play 4 rounds."
"emoji-common-015","🍎 Apple Achiever","School spirit and strong effort.","common","Reach 35 points."
"emoji-common-016","🛰️ Orbit Scout","Exploring new ideas every round.","common","Answer 7 questions correctly in total."
"emoji-common-017","🪙 Coin Glimmer","You started saving up rewards.","common","Reach 15 coins."
"emoji-common-018","📖 Story Starter","Knowledge grows one page at a time.","common","Play 5 rounds."
"emoji-common-019","🧪 Science Sip","Tiny experiments, big curiosity.","common","Answer 8 questions correctly in total."
"emoji-common-020","➕ Math Mini Medal","Numbers are becoming your friends.","common","Reach 40 points."
"emoji-common-021","🌱 Sprout Scholar","Your learning garden has started.","common","Answer 9 questions correctly in total."
"emoji-common-022","🎈 Balloon Bright","Keep the momentum floating upward.","common","Play 6 rounds."
"emoji-common-023","🧭 Compass Kid","You are finding your learning direction.","common","Answer 10 questions correctly in total."
"emoji-common-024","🏅 Tiny Triumph","A neat prize for sticking with it.","common","Reach 45 points."
"emoji-common-025","📒 Notebook Nudge","Daily practice builds real skill.","common","Play 7 rounds."
"emoji-common-026","🌟 Twinkle Track","You are shining in short bursts.","common","Reach a 3-answer streak."
"emoji-common-027","🪁 Sky Kite","You kept your focus up in the air.","common","Answer 11 questions correctly in total."
"emoji-common-028","🎨 Color Creator","Learning looks brighter with effort.","common","Play 8 rounds."
"emoji-common-029","📚 Stacked Pages","You are building a mini library of wins.","common","Answer 12 questions correctly in total."
"emoji-common-030","🔎 Clue Finder","You notice details and pick smart answers.","common","Reach 50 points."
"emoji-common-031","🏫 School Spark","You showed up and did the work.","common","Play 9 rounds."
"emoji-common-032","🌧️ Rain Rookie Badge","A bright start on your learning path.","common","Answer 1 question correctly."
"emoji-common-033","🌤️ Sunny Step Token","You kept going and made progress.","common","Answer 2 questions correctly in one round."
"emoji-common-034","🌈 Rainbow Spark","A colorful reward for steady focus.","common","Answer 3 questions correctly in one round."
"emoji-common-035","☁️ Cloud Hopper","You are floating through practice rounds.","common","Play 2 rounds."
"emoji-common-036","⭐ Star Starter","A classic badge for quick wins.","common","Reach 10 points."
"emoji-common-037","📘 Blue Book Buddy","Small study steps add up fast.","common","Reach 20 points."
"emoji-common-038","✏️ Pencil Power","Sharpened and ready to learn.","common","Answer 4 questions correctly in one round."
"emoji-common-039","🧠 Brain Boost","Your focus is getting stronger.","common","Reach a 2-answer streak."
"emoji-common-040","🐣 Little Learner Chick","Tiny wins are still big wins.","common","Finish 1 round."
"emoji-common-041","🐢 Steady Turtle","Slow and steady learning works.","common","Play 3 rounds."
"emoji-common-042","🦊 Curious Fox","Questions are your playground.","common","Answer 5 questions correctly in total."
"emoji-common-043","🐼 Calm Panda","Cool mind, smart answers.","common","Reach 30 points."
"emoji-common-044","🧩 Puzzle Piece","Every answer fits into bigger knowledge.","common","Answer 6 questions correctly in total."
"emoji-common-045","📗 Green Chapter","You turned another page of progress.","common","Play 4 rounds."
"emoji-common-046","🍎 Apple Achiever","School spirit and strong effort.","common","Reach 35 points."
"emoji-common-047","🛰️ Orbit Scout","Exploring new ideas every round.","common","Answer 7 questions correctly in total."
"emoji-common-048","🪙 Coin Glimmer","You started saving up rewards.","common","Reach 15 coins."
"emoji-common-049","📖 Story Starter","Knowledge grows one page at a time.","common","Play 5 rounds."
"emoji-common-050","🧪 Science Sip","Tiny experiments, big curiosity.","common","Answer 8 questions correctly in total."
"emoji-common-051","➕ Math Mini Medal","Numbers are becoming your friends.","common","Reach 40 points."
"emoji-common-052","🌱 Sprout Scholar","Your learning garden has started.","common","Answer 9 questions correctly in total."
"emoji-common-053","🎈 Balloon Bright","Keep the momentum floating upward.","common","Play 6 rounds."
"emoji-common-054","🧭 Compass Kid","You are finding your learning direction.","common","Answer 10 questions correctly in total."
"emoji-common-055","🏅 Tiny Triumph","A neat prize for sticking with it.","common","Reach 45 points."
"emoji-common-056","📒 Notebook Nudge","Daily practice builds real skill.","common","Play 7 rounds."
"emoji-common-057","🌟 Twinkle Track","You are shining in short bursts.","common","Reach a 3-answer streak."
"emoji-common-058","🪁 Sky Kite","You kept your focus up in the air.","common","Answer 11 questions correctly in total."
"emoji-common-059","🎨 Color Creator","Learning looks brighter with effort.","common","Play 8 rounds."
"emoji-common-060","📚 Stacked Pages","You are building a mini library of wins.","common","Answer 12 questions correctly in total."
"emoji-common-061","🔎 Clue Finder","You notice details and pick smart answers.","common","Reach 50 points."
"emoji-common-062","🏫 School Spark","You showed up and did the work.","common","Play 9 rounds."
"emoji-rare-001","🌠 Comet Chaser","You raced through a round with confidence.","rare","Reach a 4-answer streak."
"emoji-rare-002","🚀 Rocket Reader","Your progress is launching higher.","rare","Reach 60 points."
"emoji-rare-003","🦉 Night Owl Scholar","Smart choices across many rounds.","rare","Play 10 rounds."
"emoji-rare-004","🐬 Dolphin Dash","Fast thinking and steady practice.","rare","Answer 20 questions correctly in total."
"emoji-rare-005","🏝️ Island Explorer","You discovered new knowledge territory.","rare","Reach 70 points."
"emoji-rare-006","⚡ Lightning Learner","Quick answers with clear focus.","rare","Reach a 5-answer streak."
"emoji-rare-007","🧮 Abacus Ace","You kept numbers under control.","rare","Reach 80 points."
"emoji-rare-008","🌎 Globe Guide","Big world, bigger curiosity.","rare","Play 12 rounds."
"emoji-rare-009","📐 Angle Adventurer","You measured up to harder rounds.","rare","Answer 25 questions correctly in total."
"emoji-rare-010","🎯 Target Thinker","Your answers are landing right on target.","rare","Reach 90 points."
"emoji-rare-011","🎒 Backpack Pro","Packed with knowledge and ready to go.","rare","Play 14 rounds."
"emoji-rare-012","🐾 Trail Tracker","You left a path of correct answers.","rare","Answer 30 questions correctly in total."
"emoji-rare-013","🛶 River Runner","You stayed smooth through each question.","rare","Reach 100 points."
"emoji-rare-014","🪐 Planet Patrol","Orbiting toward mastery one round at a time.","rare","Reach a 6-answer streak."
"emoji-rare-015","🏆 Golden Goal","Strong round, stronger habits.","rare","Play 16 rounds."
"emoji-rare-016","🎵 Rhythm Reader","You found a learning rhythm that works.","rare","Answer 35 questions correctly in total."
"emoji-rare-017","🧊 Cool Cube","Staying calm helps you score high.","rare","Reach 110 points."
"emoji-rare-018","🍀 Lucky Clover","Prepared minds make their own luck.","rare","Reach 120 points."
"emoji-rare-019","🧿 Focus Charm","Your attention stayed locked in.","rare","Reach a 7-answer streak."
"emoji-rare-020","📙 Amber Archive","A strong collection of finished rounds.","rare","Play 18 rounds."
"emoji-rare-021","🪁 Wind Rider","You rode a streak with confidence.","rare","Answer 40 questions correctly in total."
"emoji-rare-022","🎪 Big Top Brain","Lots of moving parts, still sharp answers.","rare","Reach 130 points."
"emoji-rare-023","🧺 Harvest Basket","Your effort has gathered good results.","rare","Reach 140 points."
"emoji-rare-024","🌺 Bloom Badge","Practice turned into bright progress.","rare","Play 20 rounds."
"emoji-rare-025","🛸 Sky Visitor","You brought top focus to each round.","rare","Answer 45 questions correctly in total."
"emoji-rare-026","📕 Crimson Chapter","A big chapter in your learning story.","rare","Reach 150 points."
"emoji-rare-027","🐝 Busy Bee Medal","Many rounds, many wins.","rare","Play 22 rounds."
"emoji-rare-028","⛵ Sail Scholar","You navigated challenge with calm.","rare","Answer 50 questions correctly in total."
"emoji-rare-029","🪵 Campfire Crest","Warm focus and steady momentum.","rare","Reach 160 points."
"emoji-rare-030","🎲 Lucky Logic","Good guesses plus smart thinking.","rare","Reach 170 points."
"emoji-rare-031","🔭 Telescope Tracker","You can see your progress clearly now.","rare","Play 24 rounds."
"emoji-epic-001","👑 Crown of Curiosity","A royal reward for dedicated practice.","epic","Reach 200 points."
"emoji-epic-002","🌌 Galaxy Graduate","You completed a truly stellar run.","epic","Reach a 8-answer streak."
"emoji-epic-003","🦄 Unicorn of Understanding","Rare focus and joyful learning combined.","epic","Answer 70 questions correctly in total."
"emoji-epic-004","🐉 Dragon of Diligence","A mighty badge for strong effort.","epic","Play 30 rounds."
"emoji-epic-005","💎 Diamond Desk Star","Your best rounds now sparkle.","epic","Reach 240 points."
"emoji-epic-006","🌋 Volcano Victory","Powerful momentum and fearless tries.","epic","Answer 80 questions correctly in total."
"emoji-epic-007","🛡️ Shield of Study","You built steady habits that protect progress.","epic","Play 35 rounds."
"emoji-epic-008","🧭 Master Compass","You can guide yourself through challenge.","epic","Reach 280 points."
"emoji-epic-009","🦁 Lionheart Learner","Brave answers and strong consistency.","epic","Answer 90 questions correctly in total."
"emoji-epic-010","🌠 Legend Starfall","An elite collectible for long-term effort.","epic","Play 40 rounds."
