id,prompt,correct_index,topic
math-what-is-12-0001,What is 12 + 19?,2,Math
math-what-is-13-0002,What is 13 + 20?,1,Math
math-what-is-14-0003,What is 14 + 7?,1,Math
math-what-is-15-0004,What is 15 + 8?,3,Math
math-what-is-16-0005,What is 16 + 9?,2,Math
math-what-is-17-0006,What is 17 + 10?,1,Math
math-what-is-18-0007,What is 18 + 11?,0,Math
math-what-is-19-0008,What is 19 + 12?,1,Math
math-what-is-20-0009,What is 20 + 13?,2,Math
math-what-is-21-0010,What is 21 + 14?,1,Math
math-what-is-22-0011,What is 22 + 15?,2,Math
math-what-is-23-0012,What is 23 + 16?,0,Math
math-what-is-24-0013,What is 24 + 17?,3,Math
math-what-is-25-0014,What is 25 + 18?,3,Math
math-what-is-26-0015,What is 26 + 19?,2,Math
math-what-is-27-0016,What is 27 + 20?,3,Math
math-what-is-28-0017,What is 28 + 7?,3,Math
math-what-is-29-0018,What is 29 + 8?,0,Math
math-what-is-30-0019,What is 30 + 9?,2,Math
math-what-is-31-0020,What is 31 + 10?,0,Math
math-what-is-32-0021,What is 32 + 11?,1,Math
math-what-is-33-0022,What is 33 + 12?,3,Math
math-what-is-34-0023,What is 34 + 13?,3,Math
math-what-is-35-0024,What is 35 + 14?,2,Math
math-what-is-36-0025,What is 36 + 15?,1,Math
math-what-is-37-0026,What is 37 + 16?,1,Math
math-what-is-38-0027,What is 38 + 17?,2,Math
math-what-is-39-0028,What is 39 + 18?,3,Math
math-what-is-40-0029,What is 40 + 19?,0,Math
math-what-is-41-0030,What is 41 + 20?,3,Math
math-what-is-42-0031,What is 42 + 7?,2,Math
math-what-is-43-0032,What is 43 + 8?,0,Math
math-what-is-44-0033,What is 44 + 9?,2,Math
math-what-is-45-0034,What is 45 + 10?,2,Math
math-what-is-46-0035,What is 46 + 11?,3,Math
math-what-is-47-0036,What is 47 + 12?,3,Math
math-what-is-48-0037,What is 48 + 13?,1,Math
math-what-is-49-0038,What is 49 + 14?,3,Math
math-what-is-50-0039,What is 50 + 15?,3,Math
math-what-is-51-0040,What is 51 + 16?,0,Math
math-what-is-52-0041,What is 52 + 17?,3,Math
math-what-is-53-0042,What is 53 + 18?,3,Math
math-what-is-54-0043,What is 54 + 19?,3,Math
math-what-is-55-0044,What is 55 + 20?,0,Math
math-what-is-56-0045,What is 56 + 7?,1,Math
math-what-is-57-0046,What is 57 + 8?,0,Math
math-what-is-58-0047,What is 58 + 9?,1,Math
math-what-is-59-0048,What is 59 + 10?,1,Math
math-what-is-60-0049,What is 60 + 11?,3,Math
math-what-is-61-0050,What is 61 + 12?,0,Math
math-what-is-62-0051,What is 62 + 13?,1,Math
math-what-is-63-0052,What is 63 + 14?,2,Math
math-what-is-64-0053,What is 64 + 15?,2,Math
math-what-is-65-0054,What is 65 + 16?,2,Math
math-what-is-66-0055,What is 66 + 17?,2,Math
math-what-is-67-0056,What is 67 + 18?,0,Math
math-what-is-68-0057,What is 68 + 19?,2,Math
math-what-is-69-0058,What is 69 + 20?,3,Math
math-what-is-70-0059,What is 70 + 7?,1,Math
math-what-is-71-0060,What is 71 + 8?,0,Math
math-what-is-72-0061,What is 72 + 9?,1,Math
math-what-is-73-0062,What is 73 + 10?,3,Math
math-what-is-74-0063,What is 74 + 11?,0,Math
math-what-is-75-0064,What is 75 + 12?,3,Math
math-what-is-76-0065,What is 76 + 13?,0,Math
math-what-is-77-0066,What is 77 + 14?,3,Math
math-what-is-78-0067,What is 78 + 15?,0,Math
math-what-is-79-0068,What is 79 + 16?,3,Math
math-what-is-30-0069,What is 30 - 13?,0,Math
math-what-is-31-0070,What is 31 - 14?,1,Math
math-what-is-32-0071,What is 32 - 15?,3,Math
math-what-is-33-0072,What is 33 - 5?,0,Math
math-what-is-34-0073,What is 34 - 6?,2,Math
math-what-is-35-0074,What is 35 - 7?,0,Math
math-what-is-36-0075,What is 36 - 8?,3,Math
math-what-is-37-0076,What is 37 - 9?,3,Math
math-what-is-38-0077,What is 38 - 10?,2,Math
math-what-is-39-0078,What is 39 - 11?,2,Math
math-what-is-40-0079,What is 40 - 12?,0,Math
math-what-is-41-0080,What is 41 - 13?,0,Math
math-what-is-42-0081,What is 42 - 14?,2,Math
math-what-is-43-0082,What is 43 - 15?,3,Math
math-what-is-44-0083,What is 44 - 5?,0,Math
math-what-is-45-0084,What is 45 - 6?,1,Math
math-what-is-46-0085,What is 46 - 7?,1,Math
math-what-is-47-0086,What is 47 - 8?,0,Math
math-what-is-48-0087,What is 48 - 9?,3,Math
math-what-is-49-0088,What is 49 - 10?,1,Math
math-what-is-50-0089,What is 50 - 11?,3,Math
